Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C Time
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B6 222.50 0.10 3.50 12.00 0.01 20170923104035
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B6 222.50 0.10 3.50 12.00 0.01 20170923104035
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.03 20170923104035
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104036
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104036
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.03 20170923104036
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104036
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.75 0.10 3.50 12.00 0.01 20170923104036
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.03 20170923104036
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104037
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104037
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104037
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104037
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104037
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104038
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104038
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104038
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104038
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104038
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104038
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.00 0.10 3.50 12.00 0.01 20170923104039
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104039
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.00 0.10 3.50 12.00 0.01 20170923104039
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.00 0.10 3.50 12.00 0.01 20170923104039
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104039
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104039
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104040
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104040
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104040
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.75 0.10 3.50 12.00 0.01 20170923104040
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 12.00 0.01 20170923104040
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104041
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.50 0.10 3.50 12.00 0.01 20170923104041
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B7 222.25 0.10 3.50 0.00 0.00 20170923104041
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B6 222.50 0.10 3.50 0.00 0.00 20170923104041
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B6 222.50 0.14 6.25 0.00 0.00 20170923104041
