Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.01 0.38 06 20170928160339
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.03 0.38 06 20170928160340
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160340
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160340
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160340
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160340
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.09 06 20170928160340
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160341
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160341
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160341
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.03 0.38 06 20170928160341
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160341
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160342
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 223.00 0.10 3.50 12.00 0.03 0.09 06 20170928160342
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928160342
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.01 0.09 06 20170928160342
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160342
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.03 0.38 06 20170928160342
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160343
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160343
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160343
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160343
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.03 0.09 06 20170928160343
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160344
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160344
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160344
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160344
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.01 0.09 06 20170928160344
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928160344
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160345
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160345
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928160345
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928160345
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.01 0.09 06 20170928160345
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.25 0.10 3.50 12.00 0.03 0.09 06 20170928160346
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160346
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160346
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160346
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160346
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.09 06 20170928160347
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160347
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160347
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928160347
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928160347
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928160347
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928160348
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 223.00 0.10 3.50 12.00 0.01 0.38 06 20170928160348
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.09 06 20170928160348
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928160348
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160348
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.09 06 20170928160349
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.09 06 20170928160349
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.75 0.10 3.50 12.00 0.03 0.09 06 20170928160349
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2896 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928160349
